R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
80,130,77,26.71,25.37
84,131,75,26.71,25.41
87,128,80,26.71,25.37
93,126,87,26.71,25.41
93,127,90,26.71,25.37
86,133,90,26.71,25.41
85,134,89,26.71,25.37
88,132,90,26.71,25.41
89,131,96,26.71,25.37
88,131,93,26.71,25.41
87,132,84,26.71,25.37
82,133,81,26.71,25.41
79,130,81,26.71,25.37
78,125,86,26.71,25.41
76,120,89,26.71,25.37
75,120,83,26.71,25.41
77,119,68,26.71,25.37
77,118,62,26.71,25.41
70,118,70,26.71,25.37
60,121,76,26.71,25.41
58,119,75,26.71,25.37
57,115,75,26.71,25.41
58,113,71,26.71,25.37
56,113,70,26.71,25.41
56,115,63,26.71,25.37
55,111,63,26.71,25.41
50,112,61,26.71,25.37
50,109,63,26.71,25.41
52,106,62,26.71,25.37
52,103,57,26.71,25.41
46,107,60,26.71,25.37
41,107,63,26.71,25.41
42,105,65,26.71,25.37
41,108,54,26.71,25.41
39,101,62,26.71,25.37
38,98,66,26.71,25.41
40,99,66,26.71,25.37
44,100,61,26.71,25.41
45,100,59,26.71,25.37
42,99,62,26.71,25.41
40,102,57,26.71,25.37
41,102,57,26.71,25.41
42,102,64,26.71,25.37
45,103,54,26.71,25.41
47,103,56,26.71,25.37
47,103,56,26.71,25.41
39,104,67,26.71,25.37
41,101,59,26.71,25.41
42,101,66,26.71,25.37
41,101,65,26.71,25.41
37,104,65,26.71,25.37
40,100,67,26.71,25.41
41,102,61,26.71,25.37
40,102,63,26.71,25.41
43,100,63,26.71,25.37
44,100,61,26.71,25.41
42,102,59,26.71,25.37
44,103,57,26.71,25.41
41,101,61,26.71,25.37
38,101,64,26.71,25.41
37,100,60,26.71,25.37
40,102,59,26.71,25.41
39,102,56,26.71,25.37
38,101,57,26.71,25.41
37,101,62,26.71,25.37
36,100,64,26.71,25.41
36,99,61,26.71,25.37
35,101,54,26.71,25.41
32,106,54,26.71,25.37
31,102,67,26.71,25.41
38,102,72,26.71,25.37
40,112,70,26.71,25.41
36,114,69,26.71,25.37
36,117,71,26.71,25.41
36,119,70,26.71,25.37
37,121,71,26.71,25.41
37,122,72,26.71,25.37
31,123,73,26.71,25.41
31,121,83,26.71,25.37
27,122,84,26.71,25.41
29,122,82,26.71,25.37
31,119,82,26.71,25.41
32,117,79,26.71,25.37
33,116,74,26.71,25.41
36,113,75,26.71,25.37
36,111,73,26.71,25.41
34,110,64,26.71,25.37
31,109,67,26.71,25.41
28,109,67,26.71,25.37
25,107,64,26.71,25.41
26,105,62,26.71,25.37
27,100,58,26.71,25.41
29,100,60,26.71,25.37
23,103,57,26.71,25.41
21,100,58,26.71,25.37
22,99,59,26.71,25.41
19,100,55,26.71,25.37
18,101,60,26.71,25.41
18,101,62,26.71,25.37
18,95,55,26.71,25.41
82,130,79,26.71,25.37
87,130,81,26.71,25.41
92,131,82,26.71,25.37
95,129,87,26.71,25.41
95,131,89,26.71,25.37
91,136,86,26.71,25.41
90,135,87,26.71,25.37
92,133,87,26.71,25.41
91,130,92,26.71,25.37
86,131,90,26.71,25.41
84,131,87,26.71,25.37
81,128,84,26.71,25.41
79,127,83,26.71,25.37
78,123,84,26.71,25.41
74,120,83,26.71,25.37
74,119,80,26.71,25.41
72,118,72,26.71,25.37
69,117,72,26.71,25.41
66,115,73,26.71,25.37
61,115,73,26.71,25.41
61,113,68,26.71,25.37
58,113,70,26.71,25.41
57,112,69,26.71,25.37
58,113,69,26.71,25.41
54,112,64,26.71,25.37
51,110,65,26.71,25.41
50,109,64,26.71,25.37
49,107,67,26.71,25.41
51,107,65,26.71,25.37
51,105,62,26.71,25.41
50,105,59,26.71,25.37
47,105,62,26.71,25.41
43,106,61,26.71,25.37
40,107,61,26.71,25.41
41,105,63,26.71,25.37
39,102,63,26.71,25.41
38,103,65,26.71,25.37
41,103,65,26.71,25.41
42,104,62,26.71,25.37
42,102,62,26.71,25.41
43,103,63,26.71,25.37
44,102,63,26.71,25.41
47,103,65,26.71,25.37
48,103,60,26.71,25.41
51,103,60,26.71,25.37
49,104,60,26.71,25.41
47,103,66,26.71,25.37
49,102,65,26.71,25.41
51,100,67,26.71,25.37
46,103,66,26.71,25.41
45,105,62,26.71,25.37
46,102,60,26.71,25.41
43,102,62,26.71,25.37
40,105,62,26.71,25.41
39,105,63,26.71,25.37
43,104,59,26.71,25.41
43,103,58,26.71,25.37
45,103,58,26.71,25.41
42,103,59,26.71,25.37
39,103,63,26.71,25.41
39,102,61,26.71,25.37
40,102,59,26.71,25.41
35,104,60,26.71,25.37
34,103,62,26.71,25.41
36,102,61,26.71,25.37
35,102,63,26.71,25.41
38,101,60,26.71,25.37
35,102,58,26.71,25.41
30,104,64,26.71,25.37
33,106,65,26.71,25.41
38,106,68,26.71,25.37
38,108,72,26.71,25.41
36,112,72,26.71,25.37
36,115,73,26.71,25.41
36,119,75,26.71,25.37
34,121,75,26.71,25.41
36,123,75,26.71,25.37
35,122,78,26.71,25.41
39,120,82,26.71,25.37
29,124,86,26.71,25.41
26,124,83,26.71,25.37
31,121,81,26.71,25.41
30,119,83,26.71,25.37
31,115,78,26.71,25.41
35,112,75,26.71,25.37
39,110,72,26.71,25.41
35,111,70,26.71,25.37
33,109,70,26.71,25.41
29,109,67,26.71,25.37
25,109,63,26.71,25.41
25,107,62,26.71,25.37
23,105,68,26.71,25.41
23,103,67,26.71,25.37
19,104,59,26.71,25.41
21,102,59,26.71,25.37
25,100,60,26.71,25.41
22,100,59,26.71,25.37
13,104,58,26.71,25.41
14,102,57,26.71,25.37
18,99,59,26.71,25.41
87,129,77,26.71,25.37
90,130,82,26.71,25.41
92,132,86,26.71,25.37
95,132,85,26.71,25.41
96,134,86,26.71,25.37
96,135,83,26.71,25.41
94,136,83,26.71,25.37
95,134,86,26.71,25.41
94,127,87,26.71,25.37
91,128,86,26.71,25.41
86,128,86,26.71,25.37
81,127,85,26.71,25.41
80,124,81,26.71,25.37
78,121,79,26.71,25.41
69,120,80,26.71,25.37
69,117,78,26.71,25.41
70,115,71,26.71,25.37
69,114,66,26.71,25.41
64,114,71,26.71,25.37
59,113,68,26.71,25.41
58,114,68,26.71,25.37
59,111,68,26.71,25.41
55,112,71,26.71,25.37
51,112,71,26.71,25.41
48,112,71,26.71,25.37
50,110,68,26.71,25.41
50,107,68,26.71,25.37
49,106,66,26.71,25.41
53,105,63,26.71,25.37
54,106,60,26.71,25.41
49,108,61,26.71,25.37
49,107,59,26.71,25.41
47,106,61,26.71,25.37
45,106,60,26.71,25.41
41,105,61,26.71,25.37
38,108,62,26.71,25.41
36,106,63,26.71,25.37
39,106,64,26.71,25.41
42,105,63,26.71,25.37
43,104,64,26.71,25.41
43,104,69,26.71,25.37
47,105,64,26.71,25.41
52,103,62,26.71,25.37
48,105,63,26.71,25.41
51,106,64,26.71,25.37
47,107,62,26.71,25.41
48,105,67,26.71,25.37
51,105,66,26.71,25.41
53,103,62,26.71,25.37
48,104,69,26.71,25.41
48,104,68,26.71,25.37
47,103,62,26.71,25.41
48,104,62,26.71,25.37
44,106,64,26.71,25.41
40,106,65,26.71,25.37
44,104,60,26.71,25.41
45,104,60,26.71,25.37
45,104,62,26.71,25.41
43,104,63,26.71,25.37
46,101,60,26.71,25.41
42,102,61,26.71,25.37
38,103,64,26.71,25.41
37,104,60,26.71,25.37
36,103,61,26.71,25.41
35,103,62,26.71,25.37
35,102,64,26.71,25.41
35,102,60,26.71,25.37
35,100,62,26.71,25.41
33,103,70,26.71,25.37
36,106,67,26.71,25.41
38,107,68,26.71,25.37
39,109,73,26.71,25.41
38,112,75,26.71,25.37
34,117,74,26.71,25.41
34,119,79,26.71,25.37
33,121,82,26.71,25.41
38,122,80,26.71,25.37
40,122,80,26.71,25.41
41,122,81,26.71,25.37
34,124,82,26.71,25.41
29,125,83,26.71,25.37
27,124,80,26.71,25.41
30,120,81,26.71,25.37
38,116,75,26.71,25.41
37,113,73,26.71,25.37
38,112,70,26.71,25.41
35,111,70,26.71,25.37
32,112,71,26.71,25.41
31,109,67,26.71,25.37
31,107,66,26.71,25.41
32,105,64,26.71,25.37
29,104,64,26.71,25.41
23,104,64,26.71,25.37
24,104,59,26.71,25.41
21,104,59,26.71,25.37
25,102,56,26.71,25.41
21,103,55,26.71,25.37
15,103,57,26.71,25.41
16,100,55,26.71,25.37
18,99,56,26.71,25.41
91,130,81,26.71,25.37
95,130,84,26.71,25.41
95,132,85,26.71,25.37
96,132,87,26.71,25.41
97,133,86,26.71,25.37
98,134,84,26.71,25.41
95,133,87,26.71,25.37
96,130,87,26.71,25.41
95,127,83,26.71,25.37
93,129,81,26.71,25.41
86,126,77,26.71,25.37
84,124,79,26.71,25.41
82,121,76,26.71,25.37
80,119,73,26.71,25.41
73,116,72,26.71,25.37
67,116,75,26.71,25.41
68,113,74,26.71,25.37
68,111,72,26.71,25.41
61,112,71,26.71,25.37
60,112,66,26.71,25.41
57,113,66,26.71,25.37
57,110,67,26.71,25.41
54,110,69,26.71,25.37
51,110,69,26.71,25.41
50,109,72,26.71,25.37
51,110,69,26.71,25.41
50,109,66,26.71,25.37
50,107,68,26.71,25.41
50,107,67,26.71,25.37
49,109,62,26.71,25.41
49,108,59,26.71,25.37
47,107,62,26.71,25.41
48,106,63,26.71,25.37
45,107,63,26.71,25.41
42,107,62,26.71,25.37
40,105,61,26.71,25.41
36,107,63,26.71,25.37
39,107,65,26.71,25.41
43,106,61,26.71,25.37
43,105,68,26.71,25.41
47,106,67,26.71,25.37
51,105,65,26.71,25.41
52,107,64,26.71,25.37
51,107,65,26.71,25.41
50,107,66,26.71,25.37
49,109,66,26.71,25.41
46,105,63,26.71,25.37
51,106,70,26.71,25.41
50,108,67,26.71,25.37
50,106,70,26.71,25.41
49,105,70,26.71,25.37
48,106,66,26.71,25.41
