Index,Row,Col,R,G,B
0,0,0,80,130,77
1,0,1,84,131,75
2,0,2,87,128,80
3,0,3,93,126,87
4,0,4,93,127,90
5,0,5,86,133,90
6,0,6,85,134,89
7,0,7,88,132,90
8,0,8,89,131,96
9,0,9,88,131,93
10,0,10,87,132,84
11,0,11,82,133,81
12,0,12,79,130,81
13,0,13,78,125,86
14,0,14,76,120,89
15,0,15,75,120,83
16,0,16,77,119,68
17,0,17,77,118,62
18,0,18,70,118,70
19,0,19,60,121,76
20,0,20,58,119,75
21,0,21,57,115,75
22,0,22,58,113,71
23,0,23,56,113,70
24,0,24,56,115,63
25,0,25,55,111,63
26,0,26,50,112,61
27,0,27,50,109,63
28,0,28,52,106,62
29,0,29,52,103,57
30,0,30,46,107,60
31,0,31,41,107,63
32,0,32,42,105,65
33,0,33,41,108,54
34,0,34,39,101,62
35,0,35,38,98,66
36,0,36,40,99,66
37,0,37,44,100,61
38,0,38,45,100,59
39,0,39,42,99,62
40,0,40,40,102,57
41,0,41,41,102,57
42,0,42,42,102,64
43,0,43,45,103,54
44,0,44,47,103,56
45,0,45,47,103,56
46,0,46,39,104,67
47,0,47,41,101,59
48,0,48,42,101,66
49,0,49,41,101,65
50,0,50,37,104,65
51,0,51,40,100,67
52,0,52,41,102,61
53,0,53,40,102,63
54,0,54,43,100,63
55,0,55,44,100,61
56,0,56,42,102,59
57,0,57,44,103,57
58,0,58,41,101,61
59,0,59,38,101,64
60,0,60,37,100,60
61,0,61,40,102,59
62,0,62,39,102,56
63,0,63,38,101,57
64,0,64,37,101,62
65,0,65,36,100,64
66,0,66,36,99,61
67,0,67,35,101,54
68,0,68,32,106,54
69,0,69,31,102,67
70,0,70,38,102,72
71,0,71,40,112,70
72,0,72,36,114,69
73,0,73,36,117,71
74,0,74,36,119,70
75,0,75,37,121,71
76,0,76,37,122,72
77,0,77,31,123,73
78,0,78,31,121,83
79,0,79,27,122,84
80,0,80,29,122,82
81,0,81,31,119,82
82,0,82,32,117,79
83,0,83,33,116,74
84,0,84,36,113,75
85,0,85,36,111,73
86,0,86,34,110,64
87,0,87,31,109,67
88,0,88,28,109,67
89,0,89,25,107,64
90,0,90,26,105,62
91,0,91,27,100,58
92,0,92,29,100,60
93,0,93,23,103,57
94,0,94,21,100,58
95,0,95,22,99,59
96,0,96,19,100,55
97,0,97,18,101,60
98,0,98,18,101,62
99,0,99,18,95,55
100,1,0,82,130,79
101,1,1,87,130,81
102,1,2,92,131,82
103,1,3,95,129,87
104,1,4,95,131,89
105,1,5,91,136,86
106,1,6,90,135,87
107,1,7,92,133,87
108,1,8,91,130,92
109,1,9,86,131,90
110,1,10,84,131,87
111,1,11,81,128,84
112,1,12,79,127,83
113,1,13,78,123,84
114,1,14,74,120,83
115,1,15,74,119,80
116,1,16,72,118,72
117,1,17,69,117,72
118,1,18,66,115,73
119,1,19,61,115,73
120,1,20,61,113,68
121,1,21,58,113,70
122,1,22,57,112,69
123,1,23,58,113,69
124,1,24,54,112,64
125,1,25,51,110,65
126,1,26,50,109,64
127,1,27,49,107,67
128,1,28,51,107,65
129,1,29,51,105,62
130,1,30,50,105,59
131,1,31,47,105,62
132,1,32,43,106,61
133,1,33,40,107,61
134,1,34,41,105,63
135,1,35,39,102,63
136,1,36,38,103,65
137,1,37,41,103,65
138,1,38,42,104,62
139,1,39,42,102,62
140,1,40,43,103,63
141,1,41,44,102,63
142,1,42,47,103,65
143,1,43,48,103,60
144,1,44,51,103,60
145,1,45,49,104,60
146,1,46,47,103,66
147,1,47,49,102,65
148,1,48,51,100,67
149,1,49,46,103,66
150,1,50,45,105,62
151,1,51,46,102,60
152,1,52,43,102,62
153,1,53,40,105,62
154,1,54,39,105,63
155,1,55,43,104,59
156,1,56,43,103,58
157,1,57,45,103,58
158,1,58,42,103,59
159,1,59,39,103,63
160,1,60,39,102,61
161,1,61,40,102,59
162,1,62,35,104,60
163,1,63,34,103,62
164,1,64,36,102,61
165,1,65,35,102,63
166,1,66,38,101,60
167,1,67,35,102,58
168,1,68,30,104,64
169,1,69,33,106,65
170,1,70,38,106,68
171,1,71,38,108,72
172,1,72,36,112,72
173,1,73,36,115,73
174,1,74,36,119,75
175,1,75,34,121,75
176,1,76,36,123,75
177,1,77,35,122,78
178,1,78,39,120,82
179,1,79,29,124,86
180,1,80,26,124,83
181,1,81,31,121,81
182,1,82,30,119,83
183,1,83,31,115,78
184,1,84,35,112,75
185,1,85,39,110,72
186,1,86,35,111,70
187,1,87,33,109,70
188,1,88,29,109,67
189,1,89,25,109,63
190,1,90,25,107,62
191,1,91,23,105,68
192,1,92,23,103,67
193,1,93,19,104,59
194,1,94,21,102,59
195,1,95,25,100,60
196,1,96,22,100,59
197,1,97,13,104,58
198,1,98,14,102,57
199,1,99,18,99,59
200,2,0,87,129,77
201,2,1,90,130,82
202,2,2,92,132,86
203,2,3,95,132,85
204,2,4,96,134,86
205,2,5,96,135,83
206,2,6,94,136,83
207,2,7,95,134,86
208,2,8,94,127,87
209,2,9,91,128,86
210,2,10,86,128,86
211,2,11,81,127,85
212,2,12,80,124,81
213,2,13,78,121,79
214,2,14,69,120,80
215,2,15,69,117,78
216,2,16,70,115,71
217,2,17,69,114,66
218,2,18,64,114,71
219,2,19,59,113,68
220,2,20,58,114,68
221,2,21,59,111,68
222,2,22,55,112,71
223,2,23,51,112,71
224,2,24,48,112,71
225,2,25,50,110,68
226,2,26,50,107,68
227,2,27,49,106,66
228,2,28,53,105,63
229,2,29,54,106,60
230,2,30,49,108,61
231,2,31,49,107,59
232,2,32,47,106,61
233,2,33,45,106,60
234,2,34,41,105,61
235,2,35,38,108,62
236,2,36,36,106,63
237,2,37,39,106,64
238,2,38,42,105,63
239,2,39,43,104,64
240,2,40,43,104,69
241,2,41,47,105,64
242,2,42,52,103,62
243,2,43,48,105,63
244,2,44,51,106,64
245,2,45,47,107,62
246,2,46,48,105,67
247,2,47,51,105,66
248,2,48,53,103,62
249,2,49,48,104,69
250,2,50,48,104,68
251,2,51,47,103,62
252,2,52,48,104,62
253,2,53,44,106,64
254,2,54,40,106,65
255,2,55,44,104,60
256,2,56,45,104,60
257,2,57,45,104,62
258,2,58,43,104,63
259,2,59,46,101,60
260,2,60,42,102,61
261,2,61,38,103,64
262,2,62,37,104,60
263,2,63,36,103,61
264,2,64,35,103,62
265,2,65,35,102,64
266,2,66,35,102,60
267,2,67,35,100,62
268,2,68,33,103,70
269,2,69,36,106,67
270,2,70,38,107,68
271,2,71,39,109,73
272,2,72,38,112,75
273,2,73,34,117,74
274,2,74,34,119,79
275,2,75,33,121,82
276,2,76,38,122,80
277,2,77,40,122,80
278,2,78,41,122,81
279,2,79,34,124,82
280,2,80,29,125,83
281,2,81,27,124,80
282,2,82,30,120,81
283,2,83,38,116,75
284,2,84,37,113,73
285,2,85,38,112,70
286,2,86,35,111,70
287,2,87,32,112,71
288,2,88,31,109,67
289,2,89,31,107,66
290,2,90,32,105,64
291,2,91,29,104,64
292,2,92,23,104,64
293,2,93,24,104,59
294,2,94,21,104,59
295,2,95,25,102,56
296,2,96,21,103,55
297,2,97,15,103,57
298,2,98,16,100,55
299,2,99,18,99,56
300,3,0,91,130,81
301,3,1,95,130,84
302,3,2,95,132,85
303,3,3,96,132,87
304,3,4,97,133,86
305,3,5,98,134,84
306,3,6,95,133,87
307,3,7,96,130,87
308,3,8,95,127,83
309,3,9,93,129,81
310,3,10,86,126,77
311,3,11,84,124,79
312,3,12,82,121,76
313,3,13,80,119,73
314,3,14,73,116,72
315,3,15,67,116,75
316,3,16,68,113,74
317,3,17,68,111,72
318,3,18,61,112,71
319,3,19,60,112,66
320,3,20,57,113,66
321,3,21,57,110,67
322,3,22,54,110,69
323,3,23,51,110,69
324,3,24,50,109,72
325,3,25,51,110,69
326,3,26,50,109,66
327,3,27,50,107,68
328,3,28,50,107,67
329,3,29,49,109,62
330,3,30,49,108,59
331,3,31,47,107,62
332,3,32,48,106,63
333,3,33,45,107,63
334,3,34,42,107,62
335,3,35,40,105,61
