Index,Row,Col,R,G,B
0,0,0,44,104,48
1,0,1,44,100,48
2,0,2,44,100,48
3,0,3,43,99,51
4,0,4,38,99,48
5,0,5,35,99,46
6,0,6,46,97,45
7,0,7,43,99,43
8,0,8,38,101,48
9,0,9,40,98,45
10,0,10,42,98,51
11,0,11,37,98,56
12,0,12,37,98,55
13,0,13,38,93,60
14,0,14,41,95,59
15,0,15,38,96,61
16,0,16,39,98,57
17,0,17,43,96,52
18,0,18,44,95,52
19,0,19,45,96,52
20,0,20,47,98,49
21,0,21,46,100,50
22,0,22,47,100,52
23,0,23,48,100,55
24,0,24,46,100,58
25,0,25,50,96,55
26,0,26,52,98,49
27,0,27,52,100,50
28,0,28,50,102,54
29,0,29,48,102,55
30,0,30,47,103,46
31,0,31,49,102,53
32,0,32,47,106,57
33,0,33,53,104,54
34,0,34,53,105,50
35,0,35,49,108,52
36,0,36,51,105,55
37,0,37,53,106,58
38,0,38,53,106,61
39,0,39,55,107,53
40,0,40,52,110,52
41,0,41,46,111,56
42,0,42,50,110,56
43,0,43,52,110,54
44,0,44,53,113,51
45,0,45,52,111,53
46,0,46,57,108,54
47,0,47,57,109,57
48,0,48,56,109,57
49,0,49,59,105,58
50,0,50,59,103,60
51,0,51,57,104,58
52,0,52,53,111,57
53,0,53,51,114,56
54,0,54,56,113,52
55,0,55,55,113,52
56,0,56,54,110,54
57,0,57,53,110,56
58,0,58,58,110,53
59,0,59,55,109,60
60,0,60,55,107,64
61,0,61,53,107,62
62,0,62,52,110,60
63,0,63,53,110,59
64,0,64,59,109,52
65,0,65,63,108,56
66,0,66,60,108,63
67,0,67,52,113,62
68,0,68,50,115,61
69,0,69,49,117,58
70,0,70,55,114,59
71,0,71,60,114,59
72,0,72,63,113,60
73,0,73,61,114,61
74,0,74,62,114,57
75,0,75,63,112,59
76,0,76,65,109,62
77,0,77,65,108,60
78,0,78,64,112,57
79,0,79,64,111,60
80,0,80,63,112,59
81,0,81,60,114,58
82,0,82,60,114,59
83,0,83,65,111,64
84,0,84,68,110,62
85,0,85,66,111,63
86,0,86,67,109,57
87,0,87,65,110,60
88,0,88,66,110,57
89,0,89,62,115,51
90,0,90,61,115,48
91,0,91,62,113,58
92,0,92,58,116,65
93,0,93,57,117,63
94,0,94,59,117,62
95,0,95,58,117,65
96,0,96,59,118,60
97,0,97,58,117,62
98,0,98,58,118,66
99,0,99,60,118,59
100,1,0,41,103,45
101,1,1,42,102,48
102,1,2,40,99,48
103,1,3,43,96,49
104,1,4,43,95,49
105,1,5,42,96,46
106,1,6,44,97,43
107,1,7,44,99,48
108,1,8,45,96,50
109,1,9,47,95,48
110,1,10,38,97,54
111,1,11,38,99,53
112,1,12,42,99,47
113,1,13,41,98,50
114,1,14,47,95,52
115,1,15,45,95,55
116,1,16,46,96,49
117,1,17,42,97,53
118,1,18,41,98,52
119,1,19,42,99,52
120,1,20,42,102,52
121,1,21,45,102,52
122,1,22,46,101,53
123,1,23,49,102,53
124,1,24,45,102,54
125,1,25,47,101,52
126,1,26,51,102,48
127,1,27,51,102,49
128,1,28,50,103,51
129,1,29,51,100,51
130,1,30,49,103,52
131,1,31,49,104,51
132,1,32,51,105,56
133,1,33,53,105,56
134,1,34,54,105,56
135,1,35,51,107,55
136,1,36,49,108,56
137,1,37,51,108,61
138,1,38,53,109,56
139,1,39,53,110,53
140,1,40,50,111,54
141,1,41,50,113,54
142,1,42,49,110,56
143,1,43,52,110,58
144,1,44,52,112,52
145,1,45,53,113,52
146,1,46,56,110,50
147,1,47,59,109,52
148,1,48,57,110,50
149,1,49,56,108,55
150,1,50,55,106,59
151,1,51,52,110,59
152,1,52,52,110,59
153,1,53,53,112,56
154,1,54,55,113,52
155,1,55,56,111,54
156,1,56,50,111,60
157,1,57,54,110,56
158,1,58,58,110,53
159,1,59,55,110,58
160,1,60,55,108,59
161,1,61,53,109,59
162,1,62,57,108,58
163,1,63,55,109,60
164,1,64,54,109,56
165,1,65,57,109,57
166,1,66,56,109,61
167,1,67,53,111,62
168,1,68,53,115,58
169,1,69,53,115,57
170,1,70,58,113,58
171,1,71,62,111,55
172,1,72,57,114,59
173,1,73,56,115,59
174,1,74,58,116,60
175,1,75,58,114,59
176,1,76,62,111,57
177,1,77,63,112,55
178,1,78,64,110,56
179,1,79,64,111,57
180,1,80,63,111,58
181,1,81,60,113,61
182,1,82,59,113,61
183,1,83,63,111,56
184,1,84,63,111,60
185,1,85,66,110,58
186,1,86,66,112,58
187,1,87,67,112,54
188,1,88,67,112,52
189,1,89,62,114,53
190,1,90,61,116,53
191,1,91,64,112,56
192,1,92,64,114,59
193,1,93,64,116,58
194,1,94,62,114,57
195,1,95,61,115,57
196,1,96,61,117,60
197,1,97,60,115,63
198,1,98,62,115,63
199,1,99,64,114,62
200,2,0,41,103,49
201,2,1,44,99,49
202,2,2,43,98,50
203,2,3,43,95,46
204,2,4,44,95,45
205,2,5,45,94,48
206,2,6,46,93,47
207,2,7,46,95,47
208,2,8,47,96,50
209,2,9,47,95,50
210,2,10,43,94,52
211,2,11,42,95,53
212,2,12,45,100,49
213,2,13,44,98,47
214,2,14,46,96,51
215,2,15,46,97,51
216,2,16,49,96,47
217,2,17,49,94,50
218,2,18,44,98,55
219,2,19,45,100,53
220,2,20,46,101,51
221,2,21,46,101,53
222,2,22,48,101,51
