R,G,B
61,57,62
60,58,59
55,62,54
57,62,47
55,63,47
51,67,47
48,74,55
47,79,50
44,80,49
45,80,44
45,80,42
46,81,42
43,80,39
43,79,41
45,75,38
47,72,35
42,70,44
34,72,42
36,72,47
35,75,40
37,72,33
42,75,25
39,74,31
34,72,41
31,72,49
36,73,34
37,73,30
43,71,26
44,73,23
39,72,29
36,73,34
37,70,32
35,67,32
38,70,35
36,67,34
32,73,35
28,76,40
37,70,31
36,70,26
35,69,28
32,66,33
30,65,32
29,63,32
33,65,24
31,65,27
33,63,31
35,64,30
37,68,22
34,71,25
30,71,32
35,71,33
35,71,35
35,65,36
36,70,31
32,68,36
31,66,35
31,68,30
32,65,24
31,65,28
29,67,32
28,68,26
28,66,28
22,73,38
23,70,34
29,69,32
32,69,31
33,61,36
29,68,33
26,68,31
25,64,24
22,66,32
24,63,31
29,57,26
27,56,30
24,58,25
22,58,25
20,54,28
17,55,31
19,60,29
30,53,29
37,61,28
41,68,24
49,71,24
55,72,25
54,70,36
53,69,35
51,69,39
48,68,40
53,73,48
60,72,57
65,67,58
65,68,54
64,68,47
63,56,48
65,55,58
66,53,53
65,52,53
65,50,53
64,51,51
61,50,52
53,113,69
55,113,64
56,115,54
58,115,60
55,116,61
54,116,63
56,115,62
60,116,63
61,118,56
58,118,60
57,118,62
56,116,63
58,116,62
58,117,55
56,119,55
55,119,60
54,118,65
51,120,65
51,120,67
53,120,66
50,118,67
44,119,67
42,120,65
39,118,67
39,109,64
41,110,61
41,110,60
31,113,56
34,110,53
37,107,52
35,109,53
33,107,51
38,107,49
42,104,55
44,104,55
42,107,55
41,108,55
39,112,52
39,113,57
41,110,64
42,111,64
43,111,61
42,111,62
40,115,63
41,115,62
44,113,67
43,113,61
43,115,61
35,119,73
35,117,71
40,116,75
44,117,68
41,119,66
40,119,64
39,121,66
39,120,67
35,121,72
37,126,69
42,124,67
44,124,67
49,121,62
41,126,66
42,125,73
53,119,73
55,120,70
58,123,68
56,124,73
57,125,75
56,128,77
55,128,75
53,129,70
54,126,73
52,121,80
53,117,81
53,115,77
54,115,69
54,112,64
51,112,61
48,112,60
46,110,62
48,108,61
49,106,61
45,106,58
44,108,60
46,108,52
47,110,48
47,111,49
45,111,50
45,110,52
46,108,55
46,106,55
46,109,51
49,106,48
52,106,50
51,106,52
50,106,49
54,103,51
53,102,51
57,106,43
56,105,50
80,130,77
84,131,75
87,128,80
93,126,87
93,127,90
86,133,90
85,134,89
88,132,90
89,131,96
88,131,93
87,132,84
82,133,81
79,130,81
78,125,86
76,120,89
75,120,83
77,119,68
77,118,62
70,118,70
60,121,76
58,119,75
57,115,75
58,113,71
56,113,70
56,115,63
55,111,63
50,112,61
50,109,63
52,106,62
52,103,57
46,107,60
41,107,63
42,105,65
41,108,54
39,101,62
38,98,66
40,99,66
44,100,61
45,100,59
42,99,62
40,102,57
41,102,57
42,102,64
45,103,54
47,103,56
47,103,56
39,104,67
41,101,59
42,101,66
41,101,65
37,104,65
40,100,67
41,102,61
40,102,63
43,100,63
44,100,61
42,102,59
44,103,57
41,101,61
38,101,64
37,100,60
40,102,59
39,102,56
38,101,57
37,101,62
36,100,64
36,99,61
35,101,54
32,106,54
31,102,67
38,102,72
40,112,70
36,114,69
36,117,71
36,119,70
37,121,71
37,122,72
31,123,73
31,121,83
27,122,84
29,122,82
31,119,82
32,117,79
33,116,74
36,113,75
36,111,73
34,110,64
31,109,67
28,109,67
25,107,64
26,105,62
27,100,58
29,100,60
23,103,57
21,100,58
22,99,59
19,100,55
18,101,60
18,101,62
18,95,55
