R,G,B
33,75,24
30,79,28
27,79,30
30,76,32
31,82,31
42,76,24
40,73,23
35,82,27
38,82,28
34,85,24
37,86,24
39,89,22
36,90,24
38,87,24
41,83,26
34,86,34
38,81,34
46,78,31
45,81,28
33,90,32
29,88,31
26,90,28
33,87,25
36,82,25
37,81,29
34,82,32
38,83,26
43,79,24
42,79,28
39,81,28
39,84,27
35,88,30
32,88,31
38,86,27
38,86,24
38,84,30
39,84,34
39,84,33
29,92,30
29,91,33
32,86,31
35,87,34
39,84,30
41,83,32
37,83,33
40,82,32
39,84,31
37,88,31
34,91,29
34,91,27
33,89,30
39,87,31
38,90,32
38,90,28
36,88,30
41,84,32
42,88,30
32,87,37
33,89,35
32,89,33
34,88,33
41,83,39
45,84,35
36,90,30
28,91,32
27,93,29
31,91,31
36,92,32
45,86,35
41,85,37
45,87,35
41,87,36
39,90,33
40,88,30
42,87,36
41,90,36
38,92,29
44,88,30
44,92,33
42,92,34
46,91,33
42,90,31
45,88,31
42,89,35
42,90,38
46,90,34
39,92,38
38,93,36
44,91,38
41,96,33
46,95,31
48,92,31
50,92,32
52,90,35
53,86,36
56,86,31
50,90,35
51,88,38
51,88,36
52,92,33
40,95,53
41,99,52
48,91,50
51,87,50
49,91,49
44,95,51
49,97,46
49,96,50
52,94,47
57,91,49
57,96,36
54,97,46
52,100,46
49,97,53
48,98,51
47,101,52
51,99,53
53,97,52
57,97,51
56,100,51
59,99,49
63,98,52
60,101,55
61,102,57
64,100,58
69,99,50
62,101,56
55,103,59
53,104,61
54,103,57
60,97,61
58,95,65
58,94,64
52,97,61
50,94,58
54,92,53
51,94,52
45,93,57
45,93,58
48,93,47
49,92,46
48,91,45
52,88,44
50,86,50
46,85,57
48,88,51
48,89,51
46,92,55
42,96,54
41,94,55
48,93,46
47,99,51
53,91,57
55,91,57
53,94,55
49,96,54
49,97,50
49,97,52
47,97,56
52,97,53
55,96,51
49,101,52
44,102,52
42,99,56
51,94,45
52,92,45
48,92,53
47,92,48
45,88,51
40,88,52
38,86,51
37,84,56
33,83,49
35,85,45
39,84,49
42,85,48
41,89,44
34,92,50
40,90,45
42,91,45
42,91,47
43,89,50
38,92,50
39,90,49
37,89,47
37,88,49
38,92,46
33,94,45
33,92,50
34,88,51
35,86,52
32,81,50
32,78,50
30,80,47
32,80,43
34,77,33
33,76,40
27,76,43
23,78,43
23,78,39
52,104,43
44,105,56
51,102,59
51,102,54
49,105,49
50,109,47
54,106,46
53,104,50
53,102,56
53,106,53
49,108,52
49,108,52
52,108,47
54,109,43
50,110,46
50,107,51
46,110,51
52,107,48
51,106,52
53,104,54
50,108,57
52,109,56
55,108,53
57,107,55
57,109,49
57,110,54
55,112,57
54,114,57
52,116,57
54,117,50
54,116,61
51,116,63
49,119,60
49,119,60
48,117,61
52,115,59
53,115,58
52,116,55
54,117,50
53,116,53
54,116,53
57,113,52
54,114,55
50,113,55
53,112,55
50,114,55
48,113,53
51,109,55
53,106,57
47,107,57
47,105,55
48,101,57
41,101,59
39,101,57
35,103,56
41,102,54
38,100,51
37,98,49
36,97,50
38,98,49
35,99,45
34,99,51
34,97,50
32,99,51
38,98,50
41,97,50
36,101,49
37,100,47
40,99,49
37,98,53
34,102,58
39,103,47
32,105,48
45,98,47
44,95,51
46,96,46
48,97,48
47,97,39
45,99,41
47,97,52
45,100,48
40,99,45
41,98,51
41,97,51
44,94,53
42,100,53
46,101,50
48,98,52
47,100,50
49,106,45
54,103,50
47,106,50
50,106,49
50,107,59
48,110,56
48,113,55
53,108,57
58,104,60
52,107,57
50,107,56
48,97,58
40,97,54
39,96,51
39,93,57
44,92,56
39,92,55
37,90,55
36,89,54
32,88,50
32,89,44
33,84,43
29,84,48
29,83,45
22,77,43
15,79,39
12,77,44
14,71,43
20,69,38
17,73,37
15,76,35
11,80,30
15,80,39
19,79,42
18,80,43
15,85,47
24,88,48
28,90,47
34,97,50
42,97,56
45,105,61
42,114,64
53,117,65
62,118,66
65,117,69
65,118,73
60,120,78
62,120,77
63,124,76
62,127,76
65,123,80
66,123,82
65,122,78
63,121,75
63,121,68
68,122,62
71,121,73
74,117,80
76,117,84
74,120,81
74,120,78
73,119,77
70,117,77
72,111,77
69,115,75
68,116,71
67,113,70
67,109,72
64,109,69
58,111,62
54,110,67
55,106,62
55,102,63
52,99,62
56,95,58
52,96,58
43,100,52
39,104,48
33,101,56
33,94,60
35,92,60
35,95,56
37,97,53
33,101,54
36,101,57
39,103,61
44,105,65
49,105,68
53,106,68
55,108,67
59,107,69
62,107,70
61,110,64
57,110,67
59,109,71
55,107,72
53,106,71
55,106,65
55,104,62
51,103,59
49,103,60
46,101,59
43,99,59
41,97,57
34,98,57
32,95,54
31,92,53
30,89,47
23,88,48
26,85,49
20,88,46
