Index,Row,Col,R,G,B
0,0,0,61,57,62
1,0,1,60,58,59
2,0,2,55,62,54
3,0,3,57,62,47
4,0,4,55,63,47
5,0,5,51,67,47
6,0,6,48,74,55
7,0,7,47,79,50
8,0,8,44,80,49
9,0,9,45,80,44
10,0,10,45,80,42
11,0,11,46,81,42
12,0,12,43,80,39
13,0,13,43,79,41
14,0,14,45,75,38
15,0,15,47,72,35
16,0,16,42,70,44
17,0,17,34,72,42
18,0,18,36,72,47
19,0,19,35,75,40
20,0,20,37,72,33
21,0,21,42,75,25
22,0,22,39,74,31
23,0,23,34,72,41
24,0,24,31,72,49
25,0,25,36,73,34
26,0,26,37,73,30
27,0,27,43,71,26
28,0,28,44,73,23
29,0,29,39,72,29
30,0,30,36,73,34
31,0,31,37,70,32
32,0,32,35,67,32
33,0,33,38,70,35
34,0,34,36,67,34
35,0,35,32,73,35
36,0,36,28,76,40
37,0,37,37,70,31
38,0,38,36,70,26
39,0,39,35,69,28
40,0,40,32,66,33
41,0,41,30,65,32
42,0,42,29,63,32
43,0,43,33,65,24
44,0,44,31,65,27
45,0,45,33,63,31
46,0,46,35,64,30
47,0,47,37,68,22
48,0,48,34,71,25
49,0,49,30,71,32
50,0,50,35,71,33
51,0,51,35,71,35
52,0,52,35,65,36
53,0,53,36,70,31
54,0,54,32,68,36
55,0,55,31,66,35
56,0,56,31,68,30
57,0,57,32,65,24
58,0,58,31,65,28
59,0,59,29,67,32
60,0,60,28,68,26
61,0,61,28,66,28
62,0,62,22,73,38
63,0,63,23,70,34
64,0,64,29,69,32
65,0,65,32,69,31
66,0,66,33,61,36
67,0,67,29,68,33
68,0,68,26,68,31
69,0,69,25,64,24
70,0,70,22,66,32
71,0,71,24,63,31
72,0,72,29,57,26
73,0,73,27,56,30
74,0,74,24,58,25
75,0,75,22,58,25
76,0,76,20,54,28
77,0,77,17,55,31
78,0,78,19,60,29
79,0,79,30,53,29
80,0,80,37,61,28
81,0,81,41,68,24
82,0,82,49,71,24
83,0,83,55,72,25
84,0,84,54,70,36
85,0,85,53,69,35
86,0,86,51,69,39
87,0,87,48,68,40
88,0,88,53,73,48
89,0,89,60,72,57
90,0,90,65,67,58
91,0,91,65,68,54
92,0,92,64,68,47
93,0,93,63,56,48
94,0,94,65,55,58
95,0,95,66,53,53
96,0,96,65,52,53
97,0,97,65,50,53
98,0,98,64,51,51
99,0,99,61,50,52
100,1,0,60,59,62
101,1,1,58,58,60
102,1,2,55,59,57
103,1,3,58,59,49
104,1,4,55,62,51
105,1,5,52,69,51
106,1,6,49,73,54
107,1,7,49,78,51
108,1,8,47,79,48
109,1,9,43,81,46
110,1,10,47,83,47
111,1,11,46,80,42
112,1,12,41,80,40
113,1,13,45,78,41
114,1,14,44,76,43
115,1,15,46,76,40
116,1,16,44,73,39
117,1,17,37,72,43
118,1,18,39,74,41
119,1,19,35,75,37
120,1,20,36,76,38
121,1,21,39,74,34
122,1,22,39,73,35
123,1,23,36,74,37
124,1,24,38,73,37
125,1,25,39,72,39
126,1,26,37,74,35
127,1,27,39,73,36
128,1,28,40,75,37
129,1,29,39,75,34
130,1,30,41,72,37
131,1,31,43,70,40
132,1,32,40,74,39
133,1,33,40,73,38
134,1,34,40,72,36
135,1,35,37,73,37
136,1,36,37,73,38
137,1,37,38,73,29
138,1,38,35,72,32
139,1,39,33,71,32
140,1,40,35,66,35
141,1,41,30,63,37
142,1,42,26,63,35
143,1,43,29,65,30
144,1,44,31,64,27
145,1,45,33,64,28
146,1,46,34,64,28
147,1,47,36,68,24
148,1,48,37,68,30
149,1,49,30,72,36
150,1,50,34,72,36
151,1,51,36,68,37
152,1,52,37,68,35
153,1,53,37,68,32
154,1,54,33,68,36
155,1,55,28,69,37
156,1,56,28,71,31
157,1,57,32,68,28
158,1,58,29,69,34
159,1,59,28,68,36
160,1,60,28,67,33
161,1,61,28,66,37
162,1,62,26,73,36
163,1,63,31,71,32
164,1,64,32,70,31
165,1,65,28,74,36
166,1,66,30,70,37
167,1,67,27,70,34
168,1,68,26,67,37
169,1,69,26,63,37
170,1,70,24,61,36
171,1,71,26,61,30
172,1,72,30,58,27
173,1,73,26,58,26
174,1,74,25,58,27
175,1,75,24,56,25
176,1,76,23,55,26
177,1,77,19,54,29
178,1,78,17,60,26
179,1,79,24,56,23
180,1,80,28,58,18
181,1,81,29,62,23
182,1,82,35,66,32
183,1,83,43,68,35
184,1,84,49,67,33
185,1,85,50,67,41
186,1,86,49,69,37
187,1,87,45,68,42
188,1,88,49,68,46
189,1,89,58,69,57
190,1,90,61,68,54
191,1,91,60,69,50
192,1,92,62,64,52
193,1,93,64,56,54
194,1,94,62,55,55
195,1,95,59,57,51
196,1,96,53,55,56
197,1,97,64,52,54
198,1,98,66,53,53
199,1,99,64,53,53
200,2,0,62,59,59
201,2,1,61,59,57
202,2,2,55,62,53
203,2,3,55,60,59
204,2,4,56,64,58
205,2,5,53,71,52
206,2,6,53,75,53
207,2,7,51,79,48
208,2,8,49,79,47
209,2,9,41,82,47
210,2,10,48,83,42
211,2,11,48,82,44
212,2,12,42,81,40
213,2,13,44,82,44
214,2,14,44,79,42
215,2,15,43,79,41
216,2,16,40,75,44
217,2,17,40,72,45
218,2,18,41,72,38
219,2,19,41,72,38
220,2,20,42,73,36
221,2,21,39,75,36
222,2,22,37,72,41
223,2,23,38,75,37
224,2,24,45,75,28
225,2,25,41,73,36
226,2,26,40,74,38
227,2,27,38,76,41
228,2,28,40,72,40
229,2,29,41,72,40
230,2,30,43,74,41
231,2,31,44,72,45
232,2,32,39,76,42
233,2,33,37,77,43
234,2,34,43,76,40
235,2,35,41,74,37
236,2,36,35,78,39
237,2,37,37,76,37
238,2,38,38,74,38
239,2,39,40,71,37
240,2,40,35,64,41
241,2,41,35,65,41
242,2,42,31,68,33
243,2,43,29,69,29
244,2,44,30,67,31
245,2,45,32,69,34
246,2,46,34,63,30
247,2,47,33,67,29
248,2,48,35,67,33
249,2,49,30,71,37
250,2,50,34,68,35
251,2,51,36,68,38
252,2,52,37,67,35
253,2,53,39,65,35
254,2,54,38,65,34
255,2,55,33,67,35
256,2,56,25,70,38
257,2,57,29,72,36
258,2,58,26,70,38
259,2,59,31,66,37
260,2,60,30,68,34
261,2,61,33,68,38
262,2,62,30,68,38
263,2,63,33,71,35
264,2,64,32,71,38
265,2,65,28,73,39
266,2,66,30,69,33
267,2,67,31,68,35
268,2,68,30,65,32
269,2,69,31,64,34
270,2,70,31,61,34
271,2,71,27,61,36
272,2,72,32,57,34
273,2,73,27,57,28
274,2,74,27,56,29
275,2,75,24,56,27
276,2,76,25,50,28
277,2,77,21,49,27
278,2,78,15,56,30
279,2,79,20,53,29
280,2,80,19,55,25
281,2,81,22,57,26
