Index,Row,Col,R,G,B
0,0,0,41,81,30
1,0,1,43,82,24
2,0,2,40,83,27
3,0,3,39,84,26
4,0,4,40,84,28
5,0,5,45,79,31
6,0,6,43,81,35
7,0,7,44,83,34
8,0,8,48,84,36
9,0,9,54,80,28
10,0,10,54,82,29
11,0,11,50,83,34
12,0,12,45,86,34
13,0,13,42,85,32
14,0,14,42,87,38
15,0,15,41,84,38
16,0,16,40,85,37
17,0,17,42,90,32
18,0,18,38,90,31
19,0,19,45,87,34
20,0,20,47,85,38
21,0,21,47,92,34
22,0,22,46,94,30
23,0,23,46,93,31
24,0,24,46,95,33
25,0,25,48,94,34
26,0,26,45,95,41
27,0,27,43,93,45
28,0,28,44,94,34
29,0,29,48,92,31
30,0,30,53,91,27
31,0,31,53,91,30
32,0,32,45,91,41
33,0,33,44,94,38
34,0,34,43,92,36
35,0,35,44,87,40
36,0,36,49,85,37
37,0,37,55,89,27
38,0,38,56,86,23
39,0,39,47,90,37
40,0,40,45,90,41
41,0,41,52,89,32
42,0,42,53,89,32
43,0,43,55,89,30
44,0,44,53,87,40
45,0,45,53,85,43
46,0,46,48,91,39
47,0,47,44,95,32
48,0,48,50,95,31
49,0,49,52,95,32
50,0,50,49,92,44
51,0,51,57,94,37
52,0,52,54,93,38
53,0,53,52,91,38
54,0,54,51,92,38
55,0,55,54,90,40
56,0,56,54,91,37
57,0,57,55,93,34
58,0,58,58,94,29
59,0,59,55,96,25
60,0,60,52,95,36
61,0,61,52,96,36
62,0,62,57,92,35
63,0,63,55,92,31
64,0,64,54,91,34
65,0,65,55,92,32
66,0,66,57,90,34
67,0,67,55,91,32
68,0,68,61,89,32
69,0,69,52,90,39
70,0,70,46,93,39
71,0,71,49,92,34
72,0,72,52,93,29
73,0,73,55,91,29
74,0,74,60,91,29
75,0,75,58,91,27
76,0,76,58,91,37
77,0,77,60,89,31
78,0,78,57,93,34
79,0,79,52,97,36
80,0,80,52,99,35
81,0,81,56,97,34
82,0,82,60,96,34
83,0,83,58,100,37
84,0,84,59,99,38
85,0,85,65,95,34
86,0,86,63,95,36
87,0,87,60,99,36
88,0,88,59,102,33
89,0,89,63,101,31
90,0,90,62,101,29
91,0,91,58,102,31
92,0,92,57,102,34
93,0,93,58,100,39
94,0,94,62,99,39
95,0,95,60,97,36
96,0,96,61,98,37
97,0,97,63,96,40
98,0,98,64,97,40
99,0,99,66,97,36
100,1,0,41,80,30
101,1,1,44,81,28
102,1,2,44,81,31
103,1,3,46,80,31
104,1,4,48,81,28
105,1,5,52,80,26
106,1,6,45,83,35
107,1,7,45,83,35
108,1,8,46,81,34
109,1,9,53,81,31
110,1,10,49,85,28
111,1,11,47,84,28
112,1,12,44,85,29
113,1,13,41,85,33
114,1,14,38,85,38
115,1,15,40,86,34
116,1,16,39,88,33
117,1,17,40,88,32
118,1,18,43,87,34
119,1,19,53,84,36
120,1,20,52,86,36
121,1,21,50,89,36
122,1,22,47,93,37
123,1,23,47,95,33
124,1,24,46,96,30
125,1,25,44,97,36
126,1,26,49,95,36
127,1,27,50,94,36
128,1,28,51,95,33
129,1,29,49,96,31
130,1,30,50,94,34
131,1,31,49,94,31
132,1,32,52,95,32
133,1,33,52,92,30
134,1,34,51,90,33
135,1,35,52,86,33
136,1,36,51,88,32
137,1,37,51,89,30
138,1,38,50,87,31
139,1,39,49,88,42
140,1,40,48,87,38
141,1,41,51,88,33
142,1,42,53,89,32
143,1,43,51,89,36
144,1,44,49,90,36
145,1,45,47,93,37
146,1,46,41,96,37
147,1,47,44,95,36
148,1,48,50,92,34
149,1,49,56,91,34
150,1,50,54,91,34
151,1,51,57,88,34
152,1,52,55,90,38
153,1,53,55,93,40
154,1,54,58,93,35
155,1,55,60,91,31
156,1,56,57,92,31
157,1,57,55,93,36
158,1,58,59,93,30
159,1,59,57,94,31
160,1,60,57,93,36
161,1,61,58,91,37
162,1,62,57,91,38
163,1,63,54,91,38
164,1,64,56,92,32
165,1,65,55,94,34
166,1,66,58,92,38
167,1,67,55,93,39
168,1,68,56,93,35
169,1,69,52,94,34
170,1,70,48,94,36
171,1,71,49,92,34
172,1,72,53,90,31
173,1,73,55,90,31
174,1,74,59,89,29
175,1,75,58,92,32
176,1,76,54,93,35
177,1,77,58,93,37
178,1,78,58,93,33
179,1,79,55,94,36
180,1,80,56,97,36
181,1,81,54,101,34
182,1,82,56,100,33
183,1,83,59,101,32
184,1,84,61,97,37
185,1,85,64,93,39
186,1,86,63,95,37
187,1,87,61,99,34
188,1,88,61,98,35
189,1,89,61,101,35
190,1,90,58,103,34
191,1,91,60,102,39
192,1,92,62,100,35
193,1,93,65,98,35
194,1,94,61,100,35
195,1,95,60,99,35
196,1,96,63,98,32
197,1,97,61,98,38
198,1,98,64,97,39
199,1,99,64,98,39
200,2,0,46,78,28
201,2,1,42,81,35
202,2,2,46,79,30
203,2,3,51,78,31
204,2,4,51,80,27
205,2,5,50,80,30
206,2,6,48,80,33
207,2,7,43,84,35
208,2,8,46,82,35
209,2,9,49,82,29
210,2,10,46,82,23
211,2,11,42,85,31
212,2,12,36,87,29
213,2,13,36,86,27
214,2,14,37,87,29
215,2,15,42,87,27
216,2,16,45,85,28
217,2,17,42,86,33
218,2,18,41,84,41
219,2,19,49,86,37
220,2,20,51,85,32
221,2,21,50,88,35
222,2,22,52,90,36
223,2,23,53,92,36
224,2,24,49,95,36
225,2,25,48,95,38
226,2,26,50,94,35
227,2,27,51,98,36
228,2,28,53,97,34
229,2,29,55,96,37
230,2,30,55,96,37
231,2,31,52,97,35
232,2,32,55,96,32
233,2,33,53,96,31
234,2,34,55,93,36
235,2,35,55,89,34
236,2,36,55,89,33
237,2,37,55,90,29
238,2,38,55,86,31
239,2,39,51,87,35
240,2,40,45,91,38
241,2,41,49,90,35
242,2,42,50,90,36
243,2,43,49,89,41
244,2,44,53,91,32
245,2,45,48,93,32
246,2,46,43,95,30
247,2,47,47,95,30
248,2,48,51,93,36
249,2,49,56,91,36
250,2,50,54,90,33
251,2,51,59,88,34
252,2,52,56,90,34
253,2,53,57,91,37
254,2,54,58,93,33
255,2,55,58,94,31
256,2,56,54,95,34
257,2,57,55,95,34
258,2,58,61,93,31
259,2,59,58,96,32
260,2,60,58,92,41
261,2,61,57,92,40
262,2,62,57,92,40
263,2,63,57,93,36
264,2,64,57,95,33
265,2,65,57,95,37
266,2,66,56,95,36
267,2,67,49,98,40
268,2,68,49,96,39
269,2,69,54,93,37
270,2,70,54,94,34
271,2,71,53,91,34
272,2,72,52,91,34
273,2,73,56,91,35
274,2,74,58,92,31
275,2,75,57,91,36
276,2,76,61,90,36
277,2,77,59,90,38
278,2,78,54,95,40
279,2,79,54,93,41
280,2,80,60,94,39
281,2,81,59,99,35
282,2,82,58,102,37
283,2,83,60,101,34
284,2,84,62,97,37
285,2,85,64,96,41
286,2,86,65,95,38
287,2,87,64,98,35
288,2,88,64,98,34
289,2,89,63,101,30
290,2,90,60,104,33
291,2,91,62,101,39
292,2,92,61,102,35
293,2,93,61,102,32
294,2,94,58,101,33
295,2,95,59,99,38
296,2,96,62,98,34
297,2,97,60,99,35
298,2,98,60,98,39
299,2,99,64,97,39
300,3,0,40,81,28
301,3,1,44,82,27
302,3,2,43,82,31
303,3,3,42,81,35
304,3,4,47,80,34
305,3,5,45,81,32
306,3,6,41,86,31
307,3,7,42,84,34
308,3,8,42,83,37
309,3,9,41,84,32
310,3,10,43,83,30
311,3,11,38,84,30
312,3,12,36,85,31
313,3,13,36,85,28
314,3,14,37,88,27
315,3,15,40,88,29
316,3,16,43,86,27
317,3,17,38,87,34
318,3,18,44,86,35
319,3,19,43,88,34
320,3,20,44,92,33
321,3,21,46,93,30
322,3,22,50,94,36
323,3,23,54,93,37
324,3,24,52,95,37
325,3,25,53,94,38
326,3,26,55,94,40
327,3,27,53,97,37
328,3,28,53,98,38
329,3,29,55,95,39
330,3,30,56,95,42
331,3,31,53,97,39
332,3,32,58,95,36
333,3,33,57,97,34
334,3,34,59,90,36
335,3,35,57,90,37
336,3,36,58,90,33
337,3,37,57,90,31
338,3,38,56,90,30
