R,G,B,AmbientTemp,ObjectTemp
61,57,62,26.71,25.37
60,58,59,26.71,25.41
55,62,54,26.71,25.37
57,62,47,26.71,25.41
55,63,47,26.71,25.37
51,67,47,26.71,25.41
48,74,55,26.71,25.37
47,79,50,26.71,25.41
44,80,49,26.71,25.37
45,80,44,26.71,25.41
45,80,42,26.71,25.37
46,81,42,26.71,25.41
43,80,39,26.71,25.37
43,79,41,26.71,25.41
45,75,38,26.71,25.37
47,72,35,26.71,25.41
42,70,44,26.71,25.37
34,72,42,26.71,25.41
36,72,47,26.71,25.37
35,75,40,26.71,25.41
37,72,33,26.71,25.37
42,75,25,26.71,25.41
39,74,31,26.71,25.37
34,72,41,26.71,25.41
31,72,49,26.71,25.37
36,73,34,26.71,25.41
37,73,30,26.71,25.37
43,71,26,26.71,25.41
44,73,23,26.71,25.37
39,72,29,26.71,25.41
36,73,34,26.71,25.37
37,70,32,26.71,25.41
35,67,32,26.71,25.37
38,70,35,26.71,25.41
36,67,34,26.71,25.37
32,73,35,26.71,25.41
28,76,40,26.71,25.37
37,70,31,26.71,25.41
36,70,26,26.71,25.37
35,69,28,26.71,25.41
32,66,33,26.71,25.37
30,65,32,26.71,25.41
29,63,32,26.71,25.37
33,65,24,26.71,25.41
31,65,27,26.71,25.37
33,63,31,26.71,25.41
35,64,30,26.71,25.37
37,68,22,26.71,25.41
34,71,25,26.71,25.37
30,71,32,26.71,25.41
35,71,33,26.71,25.37
35,71,35,26.71,25.41
35,65,36,26.71,25.37
36,70,31,26.71,25.41
32,68,36,26.71,25.37
31,66,35,26.71,25.41
31,68,30,26.71,25.37
32,65,24,26.71,25.41
31,65,28,26.71,25.37
29,67,32,26.71,25.41
28,68,26,26.71,25.37
28,66,28,26.71,25.41
22,73,38,26.71,25.37
23,70,34,26.71,25.41
29,69,32,26.71,25.37
32,69,31,26.71,25.41
33,61,36,26.71,25.37
29,68,33,26.71,25.41
26,68,31,26.71,25.37
25,64,24,26.71,25.41
22,66,32,26.71,25.37
24,63,31,26.71,25.41
29,57,26,26.71,25.37
27,56,30,26.71,25.41
24,58,25,26.71,25.37
22,58,25,26.71,25.41
20,54,28,26.71,25.37
17,55,31,26.71,25.41
19,60,29,26.71,25.37
30,53,29,26.71,25.41
37,61,28,26.71,25.37
41,68,24,26.71,25.41
49,71,24,26.71,25.37
55,72,25,26.71,25.41
54,70,36,26.71,25.37
53,69,35,26.71,25.41
51,69,39,26.71,25.37
48,68,40,26.71,25.41
53,73,48,26.71,25.37
60,72,57,26.71,25.41
65,67,58,26.71,25.37
65,68,54,26.71,25.41
64,68,47,26.71,25.37
63,56,48,26.71,25.41
65,55,58,26.71,25.37
66,53,53,26.71,25.41
65,52,53,26.71,25.37
65,50,53,26.71,25.41
64,51,51,26.71,25.37
61,50,52,26.71,25.41
53,113,69,27.47,29.59
55,113,64,27.45,29.43
56,115,54,27.47,29.59
58,115,60,27.45,29.43
55,116,61,27.47,29.59
54,116,63,27.45,29.43
