R,G,B,Ambient_Temp,Object_Temp,Delta_T,CWSI
33,75,24,26.71,25.37,2.34,1.0
30,79,28,26.71,25.41,2.3000000000000007,1.0
27,79,30,26.71,25.37,2.34,1.0
30,76,32,26.71,25.41,2.3000000000000007,1.0
31,82,31,26.71,25.37,2.34,1.0
42,76,24,26.71,25.41,2.3000000000000007,1.0
40,73,23,26.71,25.37,2.34,1.0
35,82,27,26.71,25.41,2.3000000000000007,1.0
38,82,28,26.71,25.37,2.34,1.0
34,85,24,26.71,25.41,2.3000000000000007,1.0
37,86,24,26.71,25.37,2.34,1.0
39,89,22,26.71,25.41,2.3000000000000007,1.0
36,90,24,26.71,25.37,2.34,1.0
38,87,24,26.71,25.41,2.3000000000000007,1.0
41,83,26,26.71,25.37,2.34,1.0
34,86,34,26.71,25.41,2.3000000000000007,1.0
38,81,34,26.71,25.37,2.34,1.0
46,78,31,26.71,25.41,2.3000000000000007,1.0
45,81,28,26.71,25.37,2.34,1.0
33,90,32,26.71,25.41,2.3000000000000007,1.0
29,88,31,26.71,25.37,2.34,1.0
26,90,28,26.71,25.41,2.3000000000000007,1.0
33,87,25,26.71,25.37,2.34,1.0
36,82,25,26.71,25.41,2.3000000000000007,1.0
37,81,29,26.71,25.37,2.34,1.0
34,82,32,26.71,25.41,2.3000000000000007,1.0
38,83,26,26.71,25.37,2.34,1.0
43,79,24,26.71,25.41,2.3000000000000007,1.0
42,79,28,26.71,25.37,2.34,1.0
39,81,28,26.71,25.41,2.3000000000000007,1.0
39,84,27,26.71,25.37,2.34,1.0
35,88,30,26.71,25.41,2.3000000000000007,1.0
32,88,31,26.71,25.37,2.34,1.0
38,86,27,26.71,25.41,2.3000000000000007,1.0
38,86,24,26.71,25.37,2.34,1.0
38,84,30,26.71,25.41,2.3000000000000007,1.0
39,84,34,26.71,25.37,2.34,1.0
39,84,33,26.71,25.41,2.3000000000000007,1.0
29,92,30,26.71,25.37,2.34,1.0
29,91,33,26.71,25.41,2.3000000000000007,1.0
32,86,31,26.71,25.37,2.34,1.0
35,87,34,26.71,25.41,2.3000000000000007,1.0
39,84,30,26.71,25.37,2.34,1.0
41,83,32,26.71,25.41,2.3000000000000007,1.0
37,83,33,26.71,25.37,2.34,1.0
40,82,32,26.71,25.41,2.3000000000000007,1.0
39,84,31,26.71,25.37,2.34,1.0
37,88,31,26.71,25.41,2.3000000000000007,1.0
34,91,29,26.71,25.37,2.34,1.0
34,91,27,26.71,25.41,2.3000000000000007,1.0
33,89,30,26.71,25.37,2.34,1.0
39,87,31,26.71,25.41,2.3000000000000007,1.0
38,90,32,26.71,25.37,2.34,1.0
38,90,28,26.71,25.41,2.3000000000000007,1.0
36,88,30,26.71,25.37,2.34,1.0
41,84,32,26.71,25.41,2.3000000000000007,1.0
42,88,30,26.71,25.37,2.34,1.0
32,87,37,26.71,25.41,2.3000000000000007,1.0
33,89,35,26.71,25.37,2.34,1.0
32,89,33,26.71,25.41,2.3000000000000007,1.0
34,88,33,26.71,25.37,2.34,1.0
41,83,39,26.71,25.41,2.3000000000000007,1.0
45,84,35,26.71,25.37,2.34,1.0
36,90,30,26.71,25.41,2.3000000000000007,1.0
28,91,32,26.71,25.37,2.34,1.0
27,93,29,26.71,25.41,2.3000000000000007,1.0
31,91,31,26.71,25.37,2.34,1.0
36,92,32,26.71,25.41,2.3000000000000007,1.0
45,86,35,26.71,25.37,2.34,1.0
41,85,37,26.71,25.41,2.3000000000000007,1.0
45,87,35,26.71,25.37,2.34,1.0
41,87,36,26.71,25.41,2.3000000000000007,1.0
39,90,33,26.71,25.37,2.34,1.0
40,88,30,26.71,25.41,2.3000000000000007,1.0
42,87,36,26.71,25.37,2.34,1.0
41,90,36,26.71,25.41,2.3000000000000007,1.0
38,92,29,26.71,25.37,2.34,1.0
44,88,30,26.71,25.41,2.3000000000000007,1.0
44,92,33,26.71,25.37,2.34,1.0
42,92,34,26.71,25.41,2.3000000000000007,1.0
46,91,33,26.71,25.37,2.34,1.0
42,90,31,26.71,25.41,2.3000000000000007,1.0
45,88,31,26.71,25.37,2.34,1.0
42,89,35,26.71,25.41,2.3000000000000007,1.0
42,90,38,26.71,25.37,2.34,1.0
46,90,34,26.71,25.41,2.3000000000000007,1.0
39,92,38,26.71,25.37,2.34,1.0
38,93,36,26.71,25.41,2.3000000000000007,1.0
44,91,38,26.71,25.37,2.34,1.0
41,96,33,26.71,25.41,2.3000000000000007,1.0
46,95,31,26.71,25.37,2.34,1.0
48,92,31,26.71,25.41,2.3000000000000007,1.0
50,92,32,26.71,25.37,2.34,1.0
52,90,35,26.71,25.41,2.3000000000000007,1.0
53,86,36,26.71,25.37,2.34,1.0
56,86,31,26.71,25.41,2.3000000000000007,1.0
50,90,35,26.71,25.37,2.34,1.0
51,88,38,26.71,25.41,2.3000000000000007,1.0
51,88,36,26.71,25.37,2.34,1.0
52,92,33,26.71,25.41,2.3000000000000007,1.0
40,95,53,27.47,29.59,-1.120000000000001,1.0
41,99,52,27.45,29.43,-0.9800000000000004,1.0
48,91,50,27.47,29.59,-1.120000000000001,1.0
51,87,50,27.45,29.43,-0.9800000000000004,1.0
49,91,49,27.47,29.59,-1.120000000000001,1.0
44,95,51,27.45,29.43,-0.9800000000000004,1.0
49,97,46,27.47,29.59,-1.120000000000001,1.0
49,96,50,27.45,29.43,-0.9800000000000004,1.0
52,94,47,27.47,29.59,-1.120000000000001,1.0
57,91,49,27.45,29.43,-0.9800000000000004,1.0
57,96,36,27.47,29.59,-1.120000000000001,1.0
54,97,46,27.45,29.43,-0.9800000000000004,1.0
52,100,46,27.47,29.59,-1.120000000000001,1.0
49,97,53,27.45,29.43,-0.9800000000000004,1.0
48,98,51,27.47,29.59,-1.120000000000001,1.0
47,101,52,27.45,29.43,-0.9800000000000004,1.0
51,99,53,27.47,29.59,-1.120000000000001,1.0
53,97,52,27.45,29.43,-0.9800000000000004,1.0
57,97,51,27.47,29.59,-1.120000000000001,1.0
56,100,51,27.45,29.43,-0.9800000000000004,1.0
59,99,49,27.47,29.59,-1.120000000000001,1.0
63,98,52,27.45,29.43,-0.9800000000000004,1.0
60,101,55,27.47,29.59,-1.120000000000001,1.0
61,102,57,27.45,29.43,-0.9800000000000004,1.0
64,100,58,27.47,29.59,-1.120000000000001,1.0
69,99,50,27.45,29.43,-0.9800000000000004,1.0
62,101,56,27.47,29.59,-1.120000000000001,1.0
55,103,59,27.45,29.43,-0.9800000000000004,1.0
53,104,61,27.47,29.59,-1.120000000000001,1.0
54,103,57,27.45,29.43,-0.9800000000000004,1.0
60,97,61,27.47,29.59,-1.120000000000001,1.0
58,95,65,27.45,29.43,-0.9800000000000004,1.0
