R,G,B,Drought_AmbientTemp,Drought_ObjectTemp,Delta_T,CWSI
80,130,77,26.71,25.37,-1.34,0.986
84,131,75,26.71,25.41,-1.3000000000000007,1.0
87,128,80,26.71,25.37,-1.34,0.986
93,126,87,26.71,25.41,-1.3000000000000007,1.0
93,127,90,26.71,25.37,-1.34,0.986
86,133,90,26.71,25.41,-1.3000000000000007,1.0
85,134,89,26.71,25.37,-1.34,0.986
88,132,90,26.71,25.41,-1.3000000000000007,1.0
89,131,96,26.71,25.37,-1.34,0.986
88,131,93,26.71,25.41,-1.3000000000000007,1.0
87,132,84,26.71,25.37,-1.34,0.986
82,133,81,26.71,25.41,-1.3000000000000007,1.0
79,130,81,26.71,25.37,-1.34,0.986
78,125,86,26.71,25.41,-1.3000000000000007,1.0
76,120,89,26.71,25.37,-1.34,0.986
75,120,83,26.71,25.41,-1.3000000000000007,1.0
77,119,68,26.71,25.37,-1.34,0.986
77,118,62,26.71,25.41,-1.3000000000000007,1.0
70,118,70,26.71,25.37,-1.34,0.986
60,121,76,26.71,25.41,-1.3000000000000007,1.0
58,119,75,26.71,25.37,-1.34,0.986
57,115,75,26.71,25.41,-1.3000000000000007,1.0
58,113,71,26.71,25.37,-1.34,0.986
56,113,70,26.71,25.41,-1.3000000000000007,1.0
56,115,63,26.71,25.37,-1.34,0.986
55,111,63,26.71,25.41,-1.3000000000000007,1.0
50,112,61,26.71,25.37,-1.34,0.986
50,109,63,26.71,25.41,-1.3000000000000007,1.0
52,106,62,26.71,25.37,-1.34,0.986
52,103,57,26.71,25.41,-1.3000000000000007,1.0
46,107,60,26.71,25.37,-1.34,0.986
41,107,63,26.71,25.41,-1.3000000000000007,1.0
42,105,65,26.71,25.37,-1.34,0.986
41,108,54,26.71,25.41,-1.3000000000000007,1.0
39,101,62,26.71,25.37,-1.34,0.986
38,98,66,26.71,25.41,-1.3000000000000007,1.0
40,99,66,26.71,25.37,-1.34,0.986
44,100,61,26.71,25.41,-1.3000000000000007,1.0
45,100,59,26.71,25.37,-1.34,0.986
42,99,62,26.71,25.41,-1.3000000000000007,1.0
40,102,57,26.71,25.37,-1.34,0.986
41,102,57,26.71,25.41,-1.3000000000000007,1.0
42,102,64,26.71,25.37,-1.34,0.986
45,103,54,26.71,25.41,-1.3000000000000007,1.0
47,103,56,26.71,25.37,-1.34,0.986
47,103,56,26.71,25.41,-1.3000000000000007,1.0
39,104,67,26.71,25.37,-1.34,0.986
41,101,59,26.71,25.41,-1.3000000000000007,1.0
42,101,66,26.71,25.37,-1.34,0.986
41,101,65,26.71,25.41,-1.3000000000000007,1.0
37,104,65,26.71,25.37,-1.34,0.986
40,100,67,26.71,25.41,-1.3000000000000007,1.0
41,102,61,26.71,25.37,-1.34,0.986
40,102,63,26.71,25.41,-1.3000000000000007,1.0
43,100,63,26.71,25.37,-1.34,0.986
44,100,61,26.71,25.41,-1.3000000000000007,1.0
42,102,59,26.71,25.37,-1.34,0.986
44,103,57,26.71,25.41,-1.3000000000000007,1.0
41,101,61,26.71,25.37,-1.34,0.986
38,101,64,26.71,25.41,-1.3000000000000007,1.0
37,100,60,26.71,25.37,-1.34,0.986
40,102,59,26.71,25.41,-1.3000000000000007,1.0
39,102,56,26.71,25.37,-1.34,0.986
38,101,57,26.71,25.41,-1.3000000000000007,1.0
37,101,62,26.71,25.37,-1.34,0.986
36,100,64,26.71,25.41,-1.3000000000000007,1.0
36,99,61,26.71,25.37,-1.34,0.986
35,101,54,26.71,25.41,-1.3000000000000007,1.0
32,106,54,26.71,25.37,-1.34,0.986
31,102,67,26.71,25.41,-1.3000000000000007,1.0
38,102,72,26.71,25.37,-1.34,0.986
40,112,70,26.71,25.41,-1.3000000000000007,1.0
36,114,69,26.71,25.37,-1.34,0.986
36,117,71,26.71,25.41,-1.3000000000000007,1.0
36,119,70,26.71,25.37,-1.34,0.986
37,121,71,26.71,25.41,-1.3000000000000007,1.0
37,122,72,26.71,25.37,-1.34,0.986
31,123,73,26.71,25.41,-1.3000000000000007,1.0
31,121,83,26.71,25.37,-1.34,0.986
27,122,84,26.71,25.41,-1.3000000000000007,1.0
29,122,82,26.71,25.37,-1.34,0.986
31,119,82,26.71,25.41,-1.3000000000000007,1.0
32,117,79,26.71,25.37,-1.34,0.986
33,116,74,26.71,25.41,-1.3000000000000007,1.0
36,113,75,26.71,25.37,-1.34,0.986
36,111,73,26.71,25.41,-1.3000000000000007,1.0
34,110,64,26.71,25.37,-1.34,0.986
31,109,67,26.71,25.41,-1.3000000000000007,1.0
28,109,67,26.71,25.37,-1.34,0.986
25,107,64,26.71,25.41,-1.3000000000000007,1.0
26,105,62,26.71,25.37,-1.34,0.986
27,100,58,26.71,25.41,-1.3000000000000007,1.0
29,100,60,26.71,25.37,-1.34,0.986
23,103,57,26.71,25.41,-1.3000000000000007,1.0
21,100,58,26.71,25.37,-1.34,0.986
22,99,59,26.71,25.41,-1.3000000000000007,1.0
19,100,55,26.71,25.37,-1.34,0.986
18,101,60,26.71,25.41,-1.3000000000000007,1.0
18,101,62,26.71,25.37,-1.34,0.986
18,95,55,26.71,25.41,-1.3000000000000007,1.0
82,130,79,26.71,25.37,-1.34,0.986
