R,G,B,AmbientTemp,ObjectTemp,Delta_T,CWSI
61,57,62,26.71,25.37,2.326,1.0
60,58,59,26.71,25.41,2.3000000000000007,1.0
55,62,54,26.71,25.37,2.326,1.0
57,62,47,26.71,25.41,2.3000000000000007,1.0
55,63,47,26.71,25.37,2.326,1.0
51,67,47,26.71,25.41,2.3000000000000007,1.0
48,74,55,26.71,25.37,2.326,1.0
47,79,50,26.71,25.41,2.3000000000000007,1.0
44,80,49,26.71,25.37,2.326,1.0
45,80,44,26.71,25.41,2.3000000000000007,1.0
45,80,42,26.71,25.37,2.326,1.0
46,81,42,26.71,25.41,2.3000000000000007,1.0
43,80,39,26.71,25.37,2.326,1.0
43,79,41,26.71,25.41,2.3000000000000007,1.0
45,75,38,26.71,25.37,2.326,1.0
47,72,35,26.71,25.41,2.3000000000000007,1.0
42,70,44,26.71,25.37,2.326,1.0
34,72,42,26.71,25.41,2.3000000000000007,1.0
36,72,47,26.71,25.37,2.326,1.0
35,75,40,26.71,25.41,2.3000000000000007,1.0
37,72,33,26.71,25.37,2.326,1.0
42,75,25,26.71,25.41,2.3000000000000007,1.0
39,74,31,26.71,25.37,2.326,1.0
34,72,41,26.71,25.41,2.3000000000000007,1.0
31,72,49,26.71,25.37,2.326,1.0
36,73,34,26.71,25.41,2.3000000000000007,1.0
37,73,30,26.71,25.37,2.326,1.0
43,71,26,26.71,25.41,2.3000000000000007,1.0
44,73,23,26.71,25.37,2.326,1.0
39,72,29,26.71,25.41,2.3000000000000007,1.0
36,73,34,26.71,25.37,2.326,1.0
37,70,32,26.71,25.41,2.3000000000000007,1.0
35,67,32,26.71,25.37,2.326,1.0
38,70,35,26.71,25.41,2.3000000000000007,1.0
36,67,34,26.71,25.37,2.326,1.0
32,73,35,26.71,25.41,2.3000000000000007,1.0
28,76,40,26.71,25.37,2.326,1.0
37,70,31,26.71,25.41,2.3000000000000007,1.0
36,70,26,26.71,25.37,2.326,1.0
35,69,28,26.71,25.41,2.3000000000000007,1.0
32,66,33,26.71,25.37,2.326,1.0
30,65,32,26.71,25.41,2.3000000000000007,1.0
29,63,32,26.71,25.37,2.326,1.0
33,65,24,26.71,25.41,2.3000000000000007,1.0
31,65,27,26.71,25.37,2.326,1.0
33,63,31,26.71,25.41,2.3000000000000007,1.0
35,64,30,26.71,25.37,2.326,1.0
37,68,22,26.71,25.41,2.3000000000000007,1.0
34,71,25,26.71,25.37,2.326,1.0
30,71,32,26.71,25.41,2.3000000000000007,1.0
35,71,33,26.71,25.37,2.326,1.0
35,71,35,26.71,25.41,2.3000000000000007,1.0
35,65,36,26.71,25.37,2.326,1.0
36,70,31,26.71,25.41,2.3000000000000007,1.0
32,68,36,26.71,25.37,2.326,1.0
31,66,35,26.71,25.41,2.3000000000000007,1.0
31,68,30,26.71,25.37,2.326,1.0
32,65,24,26.71,25.41,2.3000000000000007,1.0
31,65,28,26.71,25.37,2.326,1.0
29,67,32,26.71,25.41,2.3000000000000007,1.0
28,68,26,26.71,25.37,2.326,1.0
28,66,28,26.71,25.41,2.3000000000000007,1.0
22,73,38,26.71,25.37,2.326,1.0
23,70,34,26.71,25.41,2.3000000000000007,1.0
29,69,32,26.71,25.37,2.326,1.0
32,69,31,26.71,25.41,2.3000000000000007,1.0
33,61,36,26.71,25.37,2.326,1.0
29,68,33,26.71,25.41,2.3000000000000007,1.0
26,68,31,26.71,25.37,2.326,1.0
25,64,24,26.71,25.41,2.3000000000000007,1.0
22,66,32,26.71,25.37,2.326,1.0
24,63,31,26.71,25.41,2.3000000000000007,1.0
29,57,26,26.71,25.37,2.326,1.0
27,56,30,26.71,25.41,2.3000000000000007,1.0
24,58,25,26.71,25.37,2.326,1.0
22,58,25,26.71,25.41,2.3000000000000007,1.0
20,54,28,26.71,25.37,2.326,1.0
17,55,31,26.71,25.41,2.3000000000000007,1.0
19,60,29,26.71,25.37,2.326,1.0
30,53,29,26.71,25.41,2.3000000000000007,1.0
37,61,28,26.71,25.37,2.326,1.0
41,68,24,26.71,25.41,2.3000000000000007,1.0
49,71,24,26.71,25.37,2.326,1.0
55,72,25,26.71,25.41,2.3000000000000007,1.0
54,70,36,26.71,25.37,2.326,1.0
53,69,35,26.71,25.41,2.3000000000000007,1.0
51,69,39,26.71,25.37,2.326,1.0
48,68,40,26.71,25.41,2.3000000000000007,1.0
53,73,48,26.71,25.37,2.326,1.0
60,72,57,26.71,25.41,2.3000000000000007,1.0
65,67,58,26.71,25.37,2.326,1.0
65,68,54,26.71,25.41,2.3000000000000007,1.0
64,68,47,26.71,25.37,2.326,1.0
63,56,48,26.71,25.41,2.3000000000000007,1.0
65,55,58,26.71,25.37,2.326,1.0
66,53,53,26.71,25.41,2.3000000000000007,1.0
65,52,53,26.71,25.37,2.326,1.0
65,50,53,26.71,25.41,2.3000000000000007,1.0
64,51,51,26.71,25.37,2.326,1.0
61,50,52,26.71,25.41,2.3000000000000007,1.0
53,113,69,27.47,29.59,-1.120000000000001,1.0
55,113,64,27.45,29.43,-0.9800000000000004,1.0
56,115,54,27.47,29.59,-1.120000000000001,1.0
58,115,60,27.45,29.43,-0.9800000000000004,1.0
55,116,61,27.47,29.59,-1.120000000000001,1.0
54,116,63,27.45,29.43,-0.9800000000000004,1.0
56,115,62,27.47,29.59,-1.120000000000001,1.0
60,116,63,27.45,29.43,-0.9800000000000004,1.0
61,118,56,27.47,29.59,-1.120000000000001,1.0
58,118,60,27.45,29.43,-0.9800000000000004,1.0
57,118,62,27.47,29.59,-1.120000000000001,1.0
56,116,63,27.45,29.43,-0.9800000000000004,1.0
58,116,62,27.47,29.59,-1.120000000000001,1.0
58,117,55,27.45,29.43,-0.9800000000000004,1.0
56,119,55,27.47,29.59,-1.120000000000001,1.0
55,119,60,27.45,29.43,-0.9800000000000004,1.0
54,118,65,27.47,29.59,-1.120000000000001,1.0
51,120,65,27.45,29.43,-0.9800000000000004,1.0
51,120,67,27.47,29.59,-1.120000000000001,1.0
53,120,66,27.45,29.43,-0.9800000000000004,1.0
50,118,67,27.47,29.59,-1.120000000000001,1.0
